user_input,reference_contexts,query_style,source_file,retrieved_contexts,retrieved_file
¿Cómo le pido a Vivi que me muestre casas o departamentos según mis preferencias?,"['# Cómo funciona la inteligencia artificial en CASAVERSO\n\nHemos incorporado inteligencia artificial a través de Vivi, la guIA hipotecaria (¡soy yo!). Estoy preparada para mostrarte casas o departamentos nuevos de acuerdo a tus preferencias. Sólo debes escribir tu búsqueda y elegiré los resultados que puedan gustarte. Mientras más detalles me des, mejor.\n\nPor ejemplo, alguien me pidió hace poco: “Busco departamento en San Miguel con 2 dormitorios, estacionamiento y cerca del Metro”. ¡Y encontré varias propiedades!\n\nTambién puedo responder tus dudas sobre créditos hipotecarios, el proceso de compra de una propiedad, subsidios, entre otros temas relacionados. Estoy en etapa de desarrollo, y mi conocimiento crecerá a nuevos ámbitos.\n']",Orientado a la Acción,BD1-00580,"['# Cómo funciona la inteligencia artificial en CASAVERSO Hemos incorporado inteligencia artificial a través de Vivi, la guIA hipotecaria (¡soy yo!). Estoy preparada para mostrarte casas o departamentos nuevos de acuerdo a tus preferencias. Sólo debes escribir tu búsqueda y elegiré los resultados que puedan gustarte. Mientras más detalles me des, mejor. Por ejemplo, alguien me pidió hace poco: “Busco departamento en San Miguel con 2 dormitorios, estacionamiento y cerca del Metro”. ¡Y encontré varias propiedades! También puedo responder tus dudas sobre créditos hipotecarios, el proceso de compra de una propiedad, subsidios, entre otros temas relacionados. Estoy en etapa de desarrollo, y mi conocimiento crecerá a nuevos ámbitos.', 'Si el proyecto es de mi interés ¿qué pasos debo seguir? Paso 1: Tomar contacto con las inmobiliarias o constructoras que desarrollan el proyecto. Paso 2: Visitar la sala de ventas del proyecto inmobiliario seleccionado y verificar si existen cupos disponibles. Paso 3: Gestionar la reserva de la vivienda elegida con la Inmobiliaria o Constructora que desarrolla el proyecto. NOTAS:Estos 3 Pasos solo son válidos para familias de menores ingresos que están buscando un cupo de vivienda en Proyectos DS 19, que han sido seleccionados en Llamados a Concurso de Proyectos del MINVU y SERVIU, realizados antes del año 2022. Si, por el contrario, las familias de menores ingresos desean incorporarse en un Proyecto DS 19 seleccionado a partir del año']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00580 - Cómo funciona la inteligencia artificial en CASAVERSO.md', 's3://pec-cc-ai-sand-concierge-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00559 - DS19 Para comprar una vivienda sin deuda hipotecaria.md']"
¿Cómo creo una cuenta en CASAVERSO?,"['# Cómo puedo crear una cuenta en CASAVERSO\n\nPara crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO.\n\nTip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.\n']",Orientado a la Acción,BD1-00581,"['# Cómo puedo crear una cuenta en CASAVERSO Para crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO. Tip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.', '# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00589 - Qué es CASAVERSO.md']"
"Si yo me registro en el nuevo portal CASAVERSO, ¿quién lo creó y qué consideró BancoEstado al desarrollarlo?","['# El Nuevo Portal CASAVERSO es de BancoEstado\n\nSí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.\n']",Caso Hipotético en Primera Persona,BD1-00582,"['# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.', '# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00583 - El Nuevo Portal CASAVERSO es seguro.md']"
kiero saber si el nuevo portal casaverso es seguro y protege mis datos?,['# El Nuevo Portal CASAVERSO es seguro\n\nEl nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.\n'],Mal redactado / Errores ortográficos,BD1-00583,"['# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.', '# Es seguro compartir mi información personal en CASAVERSO Como en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00583 - El Nuevo Portal CASAVERSO es seguro.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00584 - Es seguro compartir mi información personal en CASAVERSO.md']"
¿Cómo reviso la política de privacidad para saber si es seguro compartir mis datos en CASAVERSO?,"['# Es seguro compartir mi información personal en CASAVERSO\n\nComo en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).\n']",Orientado a la Acción,BD1-00584,"['# Es seguro compartir mi información personal en CASAVERSO Como en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).', '# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00584 - Es seguro compartir mi información personal en CASAVERSO.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00583 - El Nuevo Portal CASAVERSO es seguro.md']"
k hay casas pa arriendo ahora?,"['# Hay propiedades para arriendo\n\nEn este momento sólo hay propiedades que están a la venta, pero en un futuro cercano publicaremos propiedades disponibles para arriendo.\n']",Mal redactado / Errores ortográficos,BD1-00585,"['# Hay propiedades para arriendo En este momento sólo hay propiedades que están a la venta, pero en un futuro cercano publicaremos propiedades disponibles para arriendo.', 'Si eres Jubilado o Pensionado, debes presentar la última liquidación de jubilación o pensión. Si eres Rentista, debes presentar contratos de arriendo notariados de las propiedades, con antigüedad mínima de 1 año, certificados de dominio vigente de las propiedades y los comprobantes de transferencia electrónica o cartola de cuenta bancaria, con el monto del arriendo últimos 6 meses. Si eres Socio de Empresa o persona natural con giro comercial, debes presentar de los últimos 2 años: Declaraciones de Impuestos Anual a la Renta Personal.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00585 - Hay propiedades para arriendo.md', 's3://pec-cc-ai-sand-concierge-data/data/Sitio Publico/Preguntas Frecuentes/Crédito Hipotecario/BD1-00612 - Qué documentos necesito para acreditar renta.md']"
¿Hay propiedades usadas en Casaverso?,"['# Hay propiedades usadas\n\nEn este momento sólo hay propiedades nuevas (proyectos) en CASAVERSO, pero próximamente nos ampliaremos a la publicación de propiedades usadas.\n']",Principiante / Educativo,BD1-00586,"['# Hay propiedades usadas En este momento sólo hay propiedades nuevas (proyectos) en CASAVERSO, pero próximamente nos ampliaremos a la publicación de propiedades usadas.', '# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00586 - Hay propiedades usadas.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00589 - Qué es CASAVERSO.md']"
"Oye, para la preaprobación tengo que meter mis credenciales del sitio web de BancoEstado, ¿es eso correcto?","['# Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web ¿esto es correcto?\n\nSi, considerando que esta es una plataforma BancoEstado, para reconocer la identidad del usuario y acceder a servicios BancoEstado, se deben ingresar las credenciales de la web para avanzar en la Preaprobación.\n']",Colloquial Chileno Natural,BD1-00587,"['# Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web ¿esto es correcto? Si, considerando que esta es una plataforma BancoEstado, para reconocer la identidad del usuario y acceder a servicios BancoEstado, se deben ingresar las credenciales de la web para avanzar en la Preaprobación.', '# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco? Sí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00587 - Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web esto es correcto.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00593 - Si soy cliente del BancoEstado puedo ingresar con mis credenciales del banco.md']"
beneficios portal casaverso,"['# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO\n\nA las personas que navegan les genera:\n\nCerteza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea,\n\nUna experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra.\n\nPersonalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.\n']",Buscador de Palabras Clave,BD1-00588,"['# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO A las personas que navegan les genera: Certeza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea, Una experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra. Personalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00588 - Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md']"
"Si yo quiero saber qué es CASAVERSO y qué servicios incluye, ¿me puedes explicarlo?","['# Qué es CASAVERSO\n\nCASAVERSO es el ecosistema de vivienda y construcción de BancoEstado.\n\nEs una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar.\n\nCASAVERSO: el universo completo de la vivienda, en un solo lugar.\n']",Caso Hipotético en Primera Persona,BD1-00589,"['# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00589 - Qué es CASAVERSO.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md']"
