user_input,reference_contexts,expected_output,actual_output,query_style,source_file
¿Cómo le pido a Vivi que me muestre casas o departamentos según mis preferencias?,"['# Cómo funciona la inteligencia artificial en CASAVERSO\n\nHemos incorporado inteligencia artificial a través de Vivi, la guIA hipotecaria (¡soy yo!). Estoy preparada para mostrarte casas o departamentos nuevos de acuerdo a tus preferencias. Sólo debes escribir tu búsqueda y elegiré los resultados que puedan gustarte. Mientras más detalles me des, mejor.\n\nPor ejemplo, alguien me pidió hace poco: “Busco departamento en San Miguel con 2 dormitorios, estacionamiento y cerca del Metro”. ¡Y encontré varias propiedades!\n\nTambién puedo responder tus dudas sobre créditos hipotecarios, el proceso de compra de una propiedad, subsidios, entre otros temas relacionados. Estoy en etapa de desarrollo, y mi conocimiento crecerá a nuevos ámbitos.\n']","Para buscar casas o departamentos con Vivi, solo debes ser específico en tu solicitud. Por ejemplo, puedes decirme:

• ""Casa en Maipú con 2 dormitorios""
• ""Departamento en Santiago centro con estacionamiento""
• ""Propiedad en San Miguel cerca del Metro""

Mientras más detalles me proporciones, más precisos serán los resultados que te mostraré. 

¿Tienes alguna preferencia específica de ubicación o tipo de vivienda que te gustaría encontrar?","Para pedirle a Vivi que te muestre casas o departamentos, simplemente escribe tu búsqueda con el mayor detalle posible. Mientras más específico seas, mejores resultados obtendrás. Por ejemplo, puedes indicar el tipo de propiedad, la zona, número de dormitorios, y otras características que te interesen como estacionamiento o cercanía al metro. 
Vivi es una guía de inteligencia artificial hipotecaria que está diseñada para ayudarte a encontrar propiedades que se ajusten a tus preferencias. Está en desarrollo continuo, por lo que su capacidad de búsqueda seguirá mejorando con el tiempo.",Orientado a la Acción,BD1-00580
¿Cómo creo una cuenta en CASAVERSO?,"['# Cómo puedo crear una cuenta en CASAVERSO\n\nPara crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO.\n\nTip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.\n']","Para crear una cuenta en CASAVERSO, sigue estos pasos:

1. Dirígete al menú lateral y selecciona la opción ""Iniciar sesión"".
2. En la página de inicio de sesión, presiona el botón ""Registrarse en CASAVERSO"".

Si eres cliente de BancoEstado, tienes un acceso más rápido: puedes ingresar directamente con tu RUT y la clave de tu Banca en Línea.

¿Te gustaría que te explique más detalles sobre el proceso de registro?","Para crear una cuenta en CASAVERSO, debes ir al menú lateral y seleccionar la opción ""Iniciar sesión"". En esa página, encontrarás un botón para ""Registrarse en CASAVERSO"". 
Si eres cliente de BancoEstado, tienes una opción más sencilla: puedes ingresar directamente con tu RUT y la clave que utilizas en tu Banca en Línea, sin necesidad de realizar un registro adicional.",Orientado a la Acción,BD1-00581
"Si yo me registro en el nuevo portal CASAVERSO, ¿quién lo creó y qué consideró BancoEstado al desarrollarlo?","['# El Nuevo Portal CASAVERSO es de BancoEstado\n\nSí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.\n']","BancoEstado creó el portal CASAVERSO considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario, e incorporando las últimas tecnologías emergentes a nivel mundial. 

Un ejemplo de esto es cómo el portal busca facilitar la búsqueda y selección de propiedades para los usuarios.

¿Te gustaría conocer más detalles sobre las funcionalidades de CASAVERSO?","Sorry, I am unable to assist you with this request.",Caso Hipotético en Primera Persona,BD1-00582
kiero saber si el nuevo portal casaverso es seguro y protege mis datos?,['# El Nuevo Portal CASAVERSO es seguro\n\nEl nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.\n'],"Sí, Casaverso es completamente seguro. Cumple con todas las exigencias de seguridad informática y protección de datos personales que rigen para las instituciones financieras. 

Nuestro portal está diseñado para resguardar tu información de manera integral y confidencial.

¿Te gustaría que te explique más sobre cómo protegemos tus datos en Casaverso?","Sí, el nuevo portal CASAVERSO es seguro. BancoEstado ha desarrollado este portal cumpliendo con todas las condiciones y exigencias de seguridad informática y protección de datos personales que rigen para instituciones financieras. 
Además, puedes revisar las políticas de privacidad en el pie de página del portal para obtener información detallada sobre el tratamiento de tus datos personales y el uso de cookies de navegación. La seguridad de los usuarios es una de las principales preocupaciones de BancoEstado.",Mal redactado / Errores ortográficos,BD1-00583
¿Cómo reviso la política de privacidad para saber si es seguro compartir mis datos en CASAVERSO?,"['# Es seguro compartir mi información personal en CASAVERSO\n\nComo en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).\n']","En nuestro sitio web de Casaverso, puedes encontrar las Políticas de Privacidad en el pie de página, que te proporcionarán toda la información detallada sobre el tratamiento de tus datos personales. 

Ejemplo: Busca al final de la página web el enlace ""Políticas de Privacidad"" y revisa los términos de uso y protección de datos.

¿Te gustaría que te explique brevemente qué aspectos suelen cubrir estas políticas de privacidad?","Para revisar la política de privacidad de CASAVERSO, puedes encontrar el enlace en el pie de página del portal. Allí podrás informarte sobre el tratamiento de datos personales y el uso de datos de navegación como cookies. 
CASAVERSO, que es un portal de BancoEstado, cumple con todas las condiciones y exigencias de seguridad informática y protección de datos personales que rigen a las instituciones financieras. Puedes estar tranquilo sobre la seguridad de tu información personal.",Orientado a la Acción,BD1-00584
k hay casas pa arriendo ahora?,"['# Hay propiedades para arriendo\n\nEn este momento sólo hay propiedades que están a la venta, pero en un futuro cercano publicaremos propiedades disponibles para arriendo.\n']","Actualmente no tenemos propiedades disponibles para arriendo en nuestro portal Casaverso. Estamos trabajando para incorporar opciones de arriendo próximamente.

¿Te gustaría ver las propiedades que tenemos disponibles para compra mientras tanto? Puedo ayudarte a filtrar casas según tu presupuesto y ubicación preferida.","En este momento no hay propiedades disponibles para arriendo. Actualmente solo hay propiedades en venta, pero se espera que en un futuro cercano se publiquen propiedades disponibles para arrendar.",Mal redactado / Errores ortográficos,BD1-00585
¿Hay propiedades usadas en Casaverso?,"['# Hay propiedades usadas\n\nEn este momento sólo hay propiedades nuevas (proyectos) en CASAVERSO, pero próximamente nos ampliaremos a la publicación de propiedades usadas.\n']","En este momento, Casaverso solo cuenta con propiedades nuevas (proyectos), pero próximamente se ampliará para incluir propiedades usadas. 

¿Te gustaría conocer los proyectos nuevos disponibles actualmente en nuestra plataforma?","Actualmente, Casaverso solo cuenta con propiedades nuevas (proyectos), pero tienen planes de ampliar su oferta para incluir propiedades usadas próximamente.",Principiante / Educativo,BD1-00586
"Oye, para la preaprobación tengo que meter mis credenciales del sitio web de BancoEstado, ¿es eso correcto?","['# Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web ¿esto es correcto?\n\nSi, considerando que esta es una plataforma BancoEstado, para reconocer la identidad del usuario y acceder a servicios BancoEstado, se deben ingresar las credenciales de la web para avanzar en la Preaprobación.\n']","Sí, es correcto. Para avanzar en el proceso de preaprobación de tu crédito hipotecario, necesitas iniciar sesión con tus credenciales de BancoEstado en el sitio web.

Este paso nos permite verificar tu identidad y acceder a la información necesaria para evaluar tu solicitud.

¿Te gustaría que te explique los siguientes pasos para completar tu preaprobación?","Sí, es correcto. Para avanzar en la preaprobación, debes ingresar tus credenciales de BancoEstado, utilizando tu RUT y clave de internet con la que normalmente accedes a tu Banca en Línea. Esto es necesario para verificar tu identidad y poder acceder a los servicios de BancoEstado.",Colloquial Chileno Natural,BD1-00587
beneficios portal casaverso,"['# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO\n\nA las personas que navegan les genera:\n\nCerteza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea,\n\nUna experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra.\n\nPersonalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.\n']","Los beneficios de utilizar el Portal Casaverso son:

1. Preaprobación de crédito hipotecario en línea: Podrás conocer de forma inmediata si eres sujeto de crédito, generando certeza y seguridad en tu proceso de búsqueda de vivienda.

2. Asesoría personalizada: Cuenta con Vivi, una asistente de inteligencia artificial que te acompaña durante todo el proceso, resolviendo dudas y ayudándote a encontrar la vivienda ideal.

3. Búsqueda personalizada: El portal te propone alternativas de viviendas que se ajustan específicamente a tus necesidades y preferencias.

¿Te gustaría que te explique más sobre cómo funciona la preaprobación de crédito en Casaverso?","CASAVERSO ofrece varios beneficios para las personas que buscan vivienda. En primer lugar, proporciona certeza en el proceso de evaluación crediticia, permitiendo a los usuarios conocer de forma inmediata si son sujetos de crédito hipotecario mediante una preaprobación en línea. 
Otro beneficio importante es la asesoría personalizada durante la navegación. El portal cuenta con Vivi, una inteligencia artificial experta que acompaña al usuario en todo el proceso, ayudando a resolver dudas sobre la compra de vivienda. 
Además, CASAVERSO permite personalizar la búsqueda de viviendas, ofreciendo alternativas que se adaptan específicamente a las necesidades de cada persona. Es un ecosistema digital que reúne diversos servicios relacionados con vivienda y construcción, como asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites, todo en un mismo lugar.",Buscador de Palabras Clave,BD1-00588
"Si yo quiero saber qué es CASAVERSO y qué servicios incluye, ¿me puedes explicarlo?","['# Qué es CASAVERSO\n\nCASAVERSO es el ecosistema de vivienda y construcción de BancoEstado.\n\nEs una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar.\n\nCASAVERSO: el universo completo de la vivienda, en un solo lugar.\n']","CASAVERSO es el ecosistema digital de vivienda de BancoEstado que reúne todos los servicios relacionados con la compra, venta y financiamiento de propiedades en un solo lugar. 

Es una plataforma integral que conecta diferentes servicios como asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites, facilitando todo el proceso de vivienda para los usuarios.

¿Te gustaría que te explique más sobre cómo funciona CASAVERSO o qué servicios específicos ofrece?","CASAVERSO es un ecosistema digital de vivienda y construcción desarrollado por BancoEstado. Es una plataforma integral que reúne en un solo lugar todos los servicios relacionados con la vivienda, como asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites. 
Entre los servicios que ofrece, destaca Vivi, una inteligencia artificial que funciona como guía hipotecaria. Vivi puede ayudarte a buscar propiedades según tus preferencias, responder dudas sobre créditos hipotecarios, procesos de compra, subsidios y otros temas relacionados con vivienda. 
La plataforma ofrece beneficios como una preaprobación en línea de crédito hipotecario, asesoramiento durante la navegación, y la posibilidad de personalizar la búsqueda de viviendas según las necesidades específicas de cada persona. 
Además, el portal cumple con todas las condiciones de seguridad informática y protección de datos personales requeridas para instituciones financieras.",Caso Hipotético en Primera Persona,BD1-00589
