user_input,reference_contexts,expected_output,actual_output,query_style,source_file,retrieved_contexts,retrieved_file,deepeval_contextual_precision,deepeval_contextual_precision_reason,deepeval_contextual_recall,deepeval_contextual_recall_reason,deepeval_contextual_relevancy,deepeval_contextual_relevancy_reason,ragas_context_precision,ragas_context_recall,ragas_context_entity_recall,custom_hit_rate,custom_mrr,custom_precision_at_k,custom_recall_at_k
¿Cómo le pido a Vivi que me muestre casas o departamentos según mis preferencias?,"['# Cómo funciona la inteligencia artificial en CASAVERSO\n\nHemos incorporado inteligencia artificial a través de Vivi, la guIA hipotecaria (¡soy yo!). Estoy preparada para mostrarte casas o departamentos nuevos de acuerdo a tus preferencias. Sólo debes escribir tu búsqueda y elegiré los resultados que puedan gustarte. Mientras más detalles me des, mejor.\n\nPor ejemplo, alguien me pidió hace poco: “Busco departamento en San Miguel con 2 dormitorios, estacionamiento y cerca del Metro”. ¡Y encontré varias propiedades!\n\nTambién puedo responder tus dudas sobre créditos hipotecarios, el proceso de compra de una propiedad, subsidios, entre otros temas relacionados. Estoy en etapa de desarrollo, y mi conocimiento crecerá a nuevos ámbitos.\n']","Para buscar casas o departamentos con Vivi, solo debes ser específico en tu solicitud. Por ejemplo, puedes decirme:

• ""Casa en Maipú con 2 dormitorios""
• ""Departamento en Santiago centro con estacionamiento""
• ""Propiedad en San Miguel cerca del Metro""

Mientras más detalles me proporciones, más precisos serán los resultados que te mostraré. 

¿Tienes alguna preferencia específica de ubicación o tipo de vivienda que te gustaría encontrar?","Para pedirle a Vivi que te muestre casas o departamentos, simplemente escribe tu búsqueda con el mayor detalle posible. Mientras más específico seas, mejores resultados obtendrás. Por ejemplo, puedes indicar el tipo de propiedad, la zona, número de dormitorios, y otras características que te interesen como estacionamiento o cercanía al metro. 
Vivi es una guía de inteligencia artificial hipotecaria que está diseñada para ayudarte a encontrar propiedades que se ajusten a tus preferencias. Está en desarrollo continuo, por lo que su capacidad de búsqueda seguirá mejorando con el tiempo.",Orientado a la Acción,BD1-00580,"['# Cómo funciona la inteligencia artificial en CASAVERSO Hemos incorporado inteligencia artificial a través de Vivi, la guIA hipotecaria (¡soy yo!). Estoy preparada para mostrarte casas o departamentos nuevos de acuerdo a tus preferencias. Sólo debes escribir tu búsqueda y elegiré los resultados que puedan gustarte. Mientras más detalles me des, mejor. Por ejemplo, alguien me pidió hace poco: “Busco departamento en San Miguel con 2 dormitorios, estacionamiento y cerca del Metro”. ¡Y encontré varias propiedades! También puedo responder tus dudas sobre créditos hipotecarios, el proceso de compra de una propiedad, subsidios, entre otros temas relacionados. Estoy en etapa de desarrollo, y mi conocimiento crecerá a nuevos ámbitos.', 'Si el proyecto es de mi interés ¿qué pasos debo seguir? Paso 1: Tomar contacto con las inmobiliarias o constructoras que desarrollan el proyecto. Paso 2: Visitar la sala de ventas del proyecto inmobiliario seleccionado y verificar si existen cupos disponibles. Paso 3: Gestionar la reserva de la vivienda elegida con la Inmobiliaria o Constructora que desarrolla el proyecto. NOTAS:Estos 3 Pasos solo son válidos para familias de menores ingresos que están buscando un cupo de vivienda en Proyectos DS 19, que han sido seleccionados en Llamados a Concurso de Proyectos del MINVU y SERVIU, realizados antes del año 2022. Si, por el contrario, las familias de menores ingresos desean incorporarse en un Proyecto DS 19 seleccionado a partir del año']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00580 - Cómo funciona la inteligencia artificial en CASAVERSO.md', 's3://pec-cc-ai-sand-concierge-data/data/Sitio Externos/Minvu/Subsidios/Comprar una Vivienda/BD1-00559 - DS19 Para comprar una vivienda sin deuda hipotecaria.md']",1.0,"The score is 1.00 because the only relevant node (rank 1) correctly explains how to ask Vivi for homes matching preferences, while the irrelevant node (rank 2) about contacting inmobiliarias is appropriately ranked lower. No higher score is needed—relevant content is already at the top.",0.7142857142857143,"The score is 0.71 because 5 of the 7 sentences (1, 2, 5, 6, and 7) can be linked to node 1 in the retrieval context, while sentences 3 (Maipú) and 4 (Santiago centro) have no matching phrase, reducing the overall recall.",0.3333333333333333,"The score is 0.33 because the majority of the retrieved context is unrelated to the query – it only mentions AI incorporation, mortgages, development stages, contacting builders, sales‑room visits, reservation management, and low‑income family conditions – as shown in the irrelevancy reasons. Only a handful of lines such as ""Estoy preparada para mostrarte casas o departamentos nuevos de acuerdo a tus preferencias"" and ""Sólo debes escribir tu búsqueda y elegiré los resultados que puedan gustarte"" actually address how to ask Vivi for listings, so the overall relevance is low.",0.9999999999,1.0,0.5999999988,1.0,1.0,0.5,1.0
¿Cómo creo una cuenta en CASAVERSO?,"['# Cómo puedo crear una cuenta en CASAVERSO\n\nPara crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO.\n\nTip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.\n']","Para crear una cuenta en CASAVERSO, sigue estos pasos:

1. Dirígete al menú lateral y selecciona la opción ""Iniciar sesión"".
2. En la página de inicio de sesión, presiona el botón ""Registrarse en CASAVERSO"".

Si eres cliente de BancoEstado, tienes un acceso más rápido: puedes ingresar directamente con tu RUT y la clave de tu Banca en Línea.

¿Te gustaría que te explique más detalles sobre el proceso de registro?","Para crear una cuenta en CASAVERSO, debes ir al menú lateral y seleccionar la opción ""Iniciar sesión"". En esa página, encontrarás un botón para ""Registrarse en CASAVERSO"". 
Si eres cliente de BancoEstado, tienes una opción más sencilla: puedes ingresar directamente con tu RUT y la clave que utilizas en tu Banca en Línea, sin necesidad de realizar un registro adicional.",Orientado a la Acción,BD1-00581,"['# Cómo puedo crear una cuenta en CASAVERSO Para crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO. Tip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.', '# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00589 - Qué es CASAVERSO.md']",1.0,"The score is 1.00 because the first retrieval node (rank 1) directly answers the query, as its reason says it “describe exactly the steps…”, whereas the second node (rank 2) is irrelevant, only explaining what CASAVERSO is. The relevant node is ranked higher than the irrelevant one, giving perfect contextual precision.",0.8,"The score is 0.80 because sentences 1‑4 of the expected output are directly attributable to node 1 in the retrieval context, while the closing question has no supporting evidence.",0.4285714285714285,"The score is 0.43 because the context mixes relevant instructions (e.g., ""Para crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión."", ""En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO."") with several generic statements that give no guidance (e.g., ""The statement only introduces the topic ('Qué es CASAVERSO') and does not provide any information on how to create an account.""). This partial relevance results in a modest score.",0.9999999999,0.8,0.9999999975,1.0,1.0,0.5,1.0
"Si yo me registro en el nuevo portal CASAVERSO, ¿quién lo creó y qué consideró BancoEstado al desarrollarlo?","['# El Nuevo Portal CASAVERSO es de BancoEstado\n\nSí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.\n']","BancoEstado creó el portal CASAVERSO considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario, e incorporando las últimas tecnologías emergentes a nivel mundial. 

Un ejemplo de esto es cómo el portal busca facilitar la búsqueda y selección de propiedades para los usuarios.

¿Te gustaría conocer más detalles sobre las funcionalidades de CASAVERSO?","Sorry, I am unable to assist you with this request.",Caso Hipotético en Primera Persona,BD1-00582,"['# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.', '# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00583 - El Nuevo Portal CASAVERSO es seguro.md']",1.0,"The score is 1.00 because the first retrieval node (rank 1) is relevant – it “states that the portal was 'desarrollado por BancoEstado considerando...'” – and the only irrelevant node (rank 2) appears after it, as its passage “only mentions that the portal is secure… without addressing who created it or the considerations,” so relevant information is ranked higher than irrelevant.",0.3333333333333333,"The score is 0.33 because only sentence 1 of the expected output aligns with node 1 in the retrieval context, while sentences 2 and 3 have no supporting nodes.",1.0,"The score is 1.00 because the retrieval context directly answers the question, stating ""El Nuevo Portal CASAVERSO es de BancoEstado"" and that it was developed ""considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.""",0.9999999999,0.3333333333333333,0.4999999975,1.0,1.0,0.5,1.0
kiero saber si el nuevo portal casaverso es seguro y protege mis datos?,['# El Nuevo Portal CASAVERSO es seguro\n\nEl nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.\n'],"Sí, Casaverso es completamente seguro. Cumple con todas las exigencias de seguridad informática y protección de datos personales que rigen para las instituciones financieras. 

Nuestro portal está diseñado para resguardar tu información de manera integral y confidencial.

¿Te gustaría que te explique más sobre cómo protegemos tus datos en Casaverso?","Sí, el nuevo portal CASAVERSO es seguro. BancoEstado ha desarrollado este portal cumpliendo con todas las condiciones y exigencias de seguridad informática y protección de datos personales que rigen para instituciones financieras. 
Además, puedes revisar las políticas de privacidad en el pie de página del portal para obtener información detallada sobre el tratamiento de tus datos personales y el uso de cookies de navegación. La seguridad de los usuarios es una de las principales preocupaciones de BancoEstado.",Mal redactado / Errores ortográficos,BD1-00583,"['# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.', '# Es seguro compartir mi información personal en CASAVERSO Como en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00583 - El Nuevo Portal CASAVERSO es seguro.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00584 - Es seguro compartir mi información personal en CASAVERSO.md']",1.0,"The score is 1.00 because the top‑ranked node (rank 1) states ""El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales"", directly confirming security, and the next node (rank 2) adds ""la seguridad es una de nuestras principales preocupaciones"" supporting data protection. Since all relevant nodes appear before any irrelevant ones (there are none), the contextual precision is perfect.",0.5,"The score is 0.50 because sentence 1 is grounded in node 1 of the retrieval context, but sentences 2 and 3 lack any supporting evidence from the nodes.",1.0,"The score is 1.00 because the retrieval context directly answers the query with statements like ""El Nuevo Portal CASAVERSO es seguro."" and ""Como en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones,"" confirming the portal’s safety and data protection.",0.99999999995,0.75,0.0,1.0,1.0,0.5,1.0
¿Cómo reviso la política de privacidad para saber si es seguro compartir mis datos en CASAVERSO?,"['# Es seguro compartir mi información personal en CASAVERSO\n\nComo en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).\n']","En nuestro sitio web de Casaverso, puedes encontrar las Políticas de Privacidad en el pie de página, que te proporcionarán toda la información detallada sobre el tratamiento de tus datos personales. 

Ejemplo: Busca al final de la página web el enlace ""Políticas de Privacidad"" y revisa los términos de uso y protección de datos.

¿Te gustaría que te explique brevemente qué aspectos suelen cubrir estas políticas de privacidad?","Para revisar la política de privacidad de CASAVERSO, puedes encontrar el enlace en el pie de página del portal. Allí podrás informarte sobre el tratamiento de datos personales y el uso de datos de navegación como cookies. 
CASAVERSO, que es un portal de BancoEstado, cumple con todas las condiciones y exigencias de seguridad informática y protección de datos personales que rigen a las instituciones financieras. Puedes estar tranquilo sobre la seguridad de tu información personal.",Orientado a la Acción,BD1-00584,"['# Es seguro compartir mi información personal en CASAVERSO Como en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).', '# El Nuevo Portal CASAVERSO es seguro El nuevo portal cumple con todas las condiciones y exigencias que nos rigen como instituciones financieras en materia de seguridad informática y uso de datos personales.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00584 - Es seguro compartir mi información personal en CASAVERSO.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00583 - El Nuevo Portal CASAVERSO es seguro.md']",1.0,"The score is 1.00 because the only two nodes are relevant and they appear at ranks 1 and 2 – node 1’s reason ""The text explicitly says you can \""revisar el enlace Políticas de privacidad en el pie de página\""..."" and node 2’s reason ""It confirms that the portal meets security requirements..."" both directly answer the query, leaving no irrelevant nodes to be ranked higher. Since 1.00 is the maximum, it can’t be higher.",0.6666666666666666,"The score is 0.67 because sentences 1 and 2 of the expected output are supported by node 1 in the retrieval context, while sentence 3 (the question offering an explanation) has no supporting node.",0.6,"The score is 0.60 because the context includes a helpful line on how to check the policy (""Puedes revisar el enlace Políticas de privacidad en el pie de página...""), but also contains irrelevant statements such as ""El Nuevo Portal CASAVERSO es seguro"" and generic compliance notes that do not explain the review process, limiting overall relevance.",0.9999999999,0.6666666666666666,0.0,1.0,1.0,0.5,1.0
k hay casas pa arriendo ahora?,"['# Hay propiedades para arriendo\n\nEn este momento sólo hay propiedades que están a la venta, pero en un futuro cercano publicaremos propiedades disponibles para arriendo.\n']","Actualmente no tenemos propiedades disponibles para arriendo en nuestro portal Casaverso. Estamos trabajando para incorporar opciones de arriendo próximamente.

¿Te gustaría ver las propiedades que tenemos disponibles para compra mientras tanto? Puedo ayudarte a filtrar casas según tu presupuesto y ubicación preferida.","En este momento no hay propiedades disponibles para arriendo. Actualmente solo hay propiedades en venta, pero se espera que en un futuro cercano se publiquen propiedades disponibles para arrendar.",Mal redactado / Errores ortográficos,BD1-00585,"['# Hay propiedades para arriendo En este momento sólo hay propiedades que están a la venta, pero en un futuro cercano publicaremos propiedades disponibles para arriendo.', 'Si eres Jubilado o Pensionado, debes presentar la última liquidación de jubilación o pensión. Si eres Rentista, debes presentar contratos de arriendo notariados de las propiedades, con antigüedad mínima de 1 año, certificados de dominio vigente de las propiedades y los comprobantes de transferencia electrónica o cartola de cuenta bancaria, con el monto del arriendo últimos 6 meses. Si eres Socio de Empresa o persona natural con giro comercial, debes presentar de los últimos 2 años: Declaraciones de Impuestos Anual a la Renta Personal.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00585 - Hay propiedades para arriendo.md', 's3://pec-cc-ai-sand-concierge-data/data/Sitio Publico/Preguntas Frecuentes/Crédito Hipotecario/BD1-00612 - Qué documentos necesito para acreditar renta.md']",1.0,"The score is 1.00 because the relevant node (rank 1) contains the exact answer – ""En este momento sólo hay propiedades que están a la venta, pero en un futuro cercano publicaremos propiedades disponibles para arriendo"" – and the only irrelevant node (rank 2) is correctly placed after it, as its content about documentation requirements ""does not help produce the expected response."" This perfect ordering yields the highest possible contextual precision.",0.75,"The score is 0.75 because sentence 1 is well‑aligned with node 1 in the retrieval context, while sentence 2 lacks any supporting node, reducing overall recall.",0.4,"The score is 0.40 because most of the retrieved text is unrelated (e.g., ""debes presentar la última liquidación de jubilación o pensión"", ""contratos de arriendo notariados"", ""Declaraciones de Impuestos Anual a la Renta Personal""), and only a couple of generic lines like ""Hay propiedades para arriendo"" and ""En este momento sólo hay propiedades que están a la venta, pero en un futuro cercano publicaremos propiedades disponibles para arriendo"" actually touch on rentals.",0.9999999999,0.75,0.0,1.0,1.0,0.5,1.0
¿Hay propiedades usadas en Casaverso?,"['# Hay propiedades usadas\n\nEn este momento sólo hay propiedades nuevas (proyectos) en CASAVERSO, pero próximamente nos ampliaremos a la publicación de propiedades usadas.\n']","En este momento, Casaverso solo cuenta con propiedades nuevas (proyectos), pero próximamente se ampliará para incluir propiedades usadas. 

¿Te gustaría conocer los proyectos nuevos disponibles actualmente en nuestra plataforma?","Actualmente, Casaverso solo cuenta con propiedades nuevas (proyectos), pero tienen planes de ampliar su oferta para incluir propiedades usadas próximamente.",Principiante / Educativo,BD1-00586,"['# Hay propiedades usadas En este momento sólo hay propiedades nuevas (proyectos) en CASAVERSO, pero próximamente nos ampliaremos a la publicación de propiedades usadas.', '# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00586 - Hay propiedades usadas.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00589 - Qué es CASAVERSO.md']",1.0,"The score is 1.00 because the relevant node at rank 1 includes the direct answer (""solo hay propiedades nuevas (proyectos) en CASAVERSO, pero próximamente nos ampliaremos a la publicación de propiedades usadas""), and the only irrelevant node appears later at rank 2, so all relevant information is ranked higher than irrelevant information.",0.5,"The score is 0.50 because sentence 1 is directly supported by node 1 in the retrieval context, while sentence 2 has no supporting evidence in any node.",0.25,"The score is 0.25 because most of the retrieved statements fail to address used properties (e.g., ""The statement describes CASAVERSO as an ecosystem of housing and construction, but it does not address whether there are used properties in Casaverso."") and only one sentence directly answers the question (""En este momento sólo hay propiedades nuevas (proyectos) en CASAVERSO, pero próximamente nos ampliaremos a la publicación de propiedades usadas."").",0.9999999999,0.5,0.0,1.0,1.0,0.5,1.0
"Oye, para la preaprobación tengo que meter mis credenciales del sitio web de BancoEstado, ¿es eso correcto?","['# Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web ¿esto es correcto?\n\nSi, considerando que esta es una plataforma BancoEstado, para reconocer la identidad del usuario y acceder a servicios BancoEstado, se deben ingresar las credenciales de la web para avanzar en la Preaprobación.\n']","Sí, es correcto. Para avanzar en el proceso de preaprobación de tu crédito hipotecario, necesitas iniciar sesión con tus credenciales de BancoEstado en el sitio web.

Este paso nos permite verificar tu identidad y acceder a la información necesaria para evaluar tu solicitud.

¿Te gustaría que te explique los siguientes pasos para completar tu preaprobación?","Sí, es correcto. Para avanzar en la preaprobación, debes ingresar tus credenciales de BancoEstado, utilizando tu RUT y clave de internet con la que normalmente accedes a tu Banca en Línea. Esto es necesario para verificar tu identidad y poder acceder a los servicios de BancoEstado.",Colloquial Chileno Natural,BD1-00587,"['# Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web ¿esto es correcto? Si, considerando que esta es una plataforma BancoEstado, para reconocer la identidad del usuario y acceder a servicios BancoEstado, se deben ingresar las credenciales de la web para avanzar en la Preaprobación.', '# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco? Sí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00587 - Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web esto es correcto.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00593 - Si soy cliente del BancoEstado puedo ingresar con mis credenciales del banco.md']",1.0,"The score is 1.00 because node 1’s reason states ""to advance the pre‑approval you must \""ingresar las credenciales de la web\"""", and node 2’s reason adds that a client can ""ingresar a tu cuenta ... con tu RUT y clave internet""—both directly confirm the need for BancoEstado website credentials, and there are no irrelevant nodes ranked above them.",0.75,"The score is 0.75 because node 1 in retrieval context supplies the affirmation and login details that back sentences 1‑3 of the expected output, but none of the nodes address the request to explain the next steps, leaving that portion unsupported.",1.0,"The score is 1.00 because the retrieval context directly answers the query, confirming that you must enter your BancoEstado web credentials for pre‑approval (e.g., ""Sí, considerando que esta es una plataforma BancoEstado... se deben ingresar las credenciales de la web para avanzar en la Preaprobación""). Great match!",0.99999999995,0.75,0.9999999900000002,1.0,1.0,0.5,1.0
beneficios portal casaverso,"['# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO\n\nA las personas que navegan les genera:\n\nCerteza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea,\n\nUna experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra.\n\nPersonalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.\n']","Los beneficios de utilizar el Portal Casaverso son:

1. Preaprobación de crédito hipotecario en línea: Podrás conocer de forma inmediata si eres sujeto de crédito, generando certeza y seguridad en tu proceso de búsqueda de vivienda.

2. Asesoría personalizada: Cuenta con Vivi, una asistente de inteligencia artificial que te acompaña durante todo el proceso, resolviendo dudas y ayudándote a encontrar la vivienda ideal.

3. Búsqueda personalizada: El portal te propone alternativas de viviendas que se ajustan específicamente a tus necesidades y preferencias.

¿Te gustaría que te explique más sobre cómo funciona la preaprobación de crédito en Casaverso?","CASAVERSO ofrece varios beneficios para las personas que buscan vivienda. En primer lugar, proporciona certeza en el proceso de evaluación crediticia, permitiendo a los usuarios conocer de forma inmediata si son sujetos de crédito hipotecario mediante una preaprobación en línea. 
Otro beneficio importante es la asesoría personalizada durante la navegación. El portal cuenta con Vivi, una inteligencia artificial experta que acompaña al usuario en todo el proceso, ayudando a resolver dudas sobre la compra de vivienda. 
Además, CASAVERSO permite personalizar la búsqueda de viviendas, ofreciendo alternativas que se adaptan específicamente a las necesidades de cada persona. Es un ecosistema digital que reúne diversos servicios relacionados con vivienda y construcción, como asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites, todo en un mismo lugar.",Buscador de Palabras Clave,BD1-00588,"['# Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO A las personas que navegan les genera: Certeza en el proceso de evaluación, dándoles la seguridad de saber, de forma inmediata, que son sujetos de crédito hipotecario, a través de una preaprobación en línea, Una experiencia y asesoría en el proceso de navegación en la plataforma, al estar acompañado de una GuÍA mediante Vivi, una IA experta que lo acompañará en todo el proceso y lo ayudará a disminuir las dudas en torno al proceso de compra. Personalizar el proceso de búsqueda proponiéndole alternativas de viviendas acordes a las necesidades de cada persona.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00588 - Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md']",1.0,"The score is 1.00 because the first node (rank 1) directly mentions the benefits—""preaprobación en línea"", ""asistencia de Vivi, una IA experta"", and ""personalizar el proceso de búsqueda""—while the second node (rank 2) does not provide those specifics, so the irrelevant node is correctly ranked lower.",0.8,"The score is 0.80 because sentences 1‑3 of the expected output are well supported by node 1 in the retrieval context (listing benefits, pre‑approval, Vivi assistance, and personalized search), but the final question asking for more explanation is not found in any node, reducing the overall recall.",1.0,"The score is 1.00 because there are no listed irrelevancies and the retrieval context includes several directly relevant statements about the CASAVERSO portal, such as ""El Nuevo Portal CASAVERSO es de BancoEstado"" and ""Este nuevo portal ha sido desarrollado por BancoEstado..."".",0.9999999999,0.75,0.4999999975,1.0,1.0,0.5,1.0
"Si yo quiero saber qué es CASAVERSO y qué servicios incluye, ¿me puedes explicarlo?","['# Qué es CASAVERSO\n\nCASAVERSO es el ecosistema de vivienda y construcción de BancoEstado.\n\nEs una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar.\n\nCASAVERSO: el universo completo de la vivienda, en un solo lugar.\n']","CASAVERSO es el ecosistema digital de vivienda de BancoEstado que reúne todos los servicios relacionados con la compra, venta y financiamiento de propiedades en un solo lugar. 

Es una plataforma integral que conecta diferentes servicios como asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites, facilitando todo el proceso de vivienda para los usuarios.

¿Te gustaría que te explique más sobre cómo funciona CASAVERSO o qué servicios específicos ofrece?","CASAVERSO es un ecosistema digital de vivienda y construcción desarrollado por BancoEstado. Es una plataforma integral que reúne en un solo lugar todos los servicios relacionados con la vivienda, como asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites. 
Entre los servicios que ofrece, destaca Vivi, una inteligencia artificial que funciona como guía hipotecaria. Vivi puede ayudarte a buscar propiedades según tus preferencias, responder dudas sobre créditos hipotecarios, procesos de compra, subsidios y otros temas relacionados con vivienda. 
La plataforma ofrece beneficios como una preaprobación en línea de crédito hipotecario, asesoramiento durante la navegación, y la posibilidad de personalizar la búsqueda de viviendas según las necesidades específicas de cada persona. 
Además, el portal cumple con todas las condiciones de seguridad informática y protección de datos personales requeridas para instituciones financieras.",Caso Hipotético en Primera Persona,BD1-00589,"['# Qué es CASAVERSO CASAVERSO es el ecosistema de vivienda y construcción de BancoEstado. Es una plataforma digital donde todos los mundos que hoy están dispersos -asesoría, financiamiento, inmobiliarias, corredores, notarías y trámites- se reúnen en un mismo lugar. CASAVERSO: el universo completo de la vivienda, en un solo lugar.', '# El Nuevo Portal CASAVERSO es de BancoEstado Sí, este nuevo portal ha sido desarrollado por BancoEstado considerando las necesidades de los clientes, las condiciones actuales y futuras del mercado inmobiliario y las nuevas tecnologías emergentes a nivel mundial.']","['s3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00589 - Qué es CASAVERSO.md', 's3://pec-cc-ai-sand-concierge-data/data/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md']",1.0,"The score is 1.00 because the first node (rank 1) ""directly defines CASAVERSO and lists the services"" and the second node (rank 2) ""confirms that CASAVERSO is a new portal..."" are both relevant, and there are no irrelevant nodes ranked before them.",0.6666666666666666,"The score is 0.67 because nodes in retrieval context (node 1) directly support sentences 1 and 2 of the expected output, but no node provides the question in sentence 3, leaving one of three sentences unsupported.",1.0,"The score is 1 because the retrieval context directly answers the query, defining CASAVERSO as ""el ecosistema de vivienda y construcción de BancoEstado, una plataforma digital donde todos los mundos que hoy están dispersos ... se reúnen en un mismo lugar"" and describing it as ""el universo completo de la vivienda, en un solo lugar"", which fully satisfies the request.",0.99999999995,0.6666666666666666,0.999999995,1.0,1.0,0.5,1.0
